R,R_filter,G,G_filter,B,B_filter,AC_red,DC_red,AC_green,DC_green,AC_blue,DC_blue,RR,POS_AC,CHROM_AC,Pridict_SPO2,RR_filter
186.73582474226805,127.51078450520833,127.83118556701031,117.27359700520833,65.58762886597938,82.56060221354167,,,,,,,,,,,
186.37022397891963,127.48283528645834,127.95388669301713,117.25667643229167,65.72727272727273,82.54789713541666,,,,,,,,,,,
186.23076923076923,127.46451497395833,127.86962190352021,117.22214518229167,66.26857887874837,82.57160807291666,,,,,,,,,,,
186.48533333333333,127.442421875,127.28533333333333,117.18822265625,65.536,82.55054036458333,,,,,,,,,,,
186.24866310160428,127.44541341145833,127.32219251336899,117.18221354166667,65.62700534759358,82.55036458333333,,,,,,,,,,,
186.1955671447197,127.42127604166667,127.4954367666232,117.16184244791667,66.17209908735333,82.585859375,,,,,,,,,,,
186.6349413298566,127.41302408854166,127.36375488917862,117.12237630208334,65.66232073011734,82.55555338541667,,,,,,,,,,,
186.5658409387223,127.38888997395833,127.35984354628422,117.13294921875,65.30899608865711,82.559892578125,,,,,,,,,,,
186.34034165571617,127.2287890625,126.97766097240473,116.980546875,66.08409986859395,82.51807942708334,,,,,,,,,,,
186.61458333333334,127.38188802083333,127.08333333333333,117.117666015625,66.00651041666667,82.5945703125,,,,,,,,,,,
186.7221476510067,127.462919921875,127.13691275167785,117.18182942708333,66.76241610738255,82.6594140625,,,,,,,,,,,
186.35390946502056,127.38216796875,127.52126200274348,117.12989583333334,65.67764060356653,82.60258138020833,,,,,,,,,,,
186.52242744063324,127.38659505208334,127.0263852242744,117.11810546875,66.07387862796834,82.61602213541667,,,,,,,,,,,
186.343878954608,127.34823893229166,127.1251719394773,117.10955729166666,66.25309491059147,82.61083333333333,,,,,,,,,,,
186.85919165580182,127.35904296875,127.60625814863103,117.095048828125,66.38591916558018,82.61244466145833,,,,,,,,,,,
186.72750977835724,127.355966796875,127.50586701434159,117.09466796875,66.16818774445893,82.60774088541666,,,,,,,,,,,
186.42084432717678,127.34018880208333,127.3311345646438,117.098359375,65.75065963060686,82.58668619791666,,,,,,,,,,,
186.40156453715775,127.37093424479167,127.37679269882659,117.10452473958334,65.95176010430248,82.59686197916666,,,,,,,,,,,
186.37890625,127.34224934895833,127.42317708333333,117.11010091145833,66.70052083333333,82.5880078125,,,,,,,,,,,
186.4920844327177,127.36524739583334,127.6622691292876,117.12643229166666,65.27176781002639,82.6280078125,,,,,,,,,,,
186.52374670184696,127.323095703125,127.52110817941953,117.10933268229167,65.5,82.5997265625,,,,,,,,,,,
186.20712401055408,127.372626953125,127.7730870712401,117.13292317708333,65.76121372031662,82.61555989583333,,,,,,,,,,,
186.09647979139504,127.36733723958334,127.374185136897,117.09712890625,65.7574967405476,82.63422200520833,,,,,,,,,,,
186.47018970189703,127.368671875,127.27913279132791,117.081005859375,65.25474254742548,82.63462890625,,,,,,,,,,,
185.99739583333334,127.35431315104167,126.88151041666667,117.06509114583334,64.75,82.600078125,,,,,,,,,,,
186.21875,127.321376953125,126.86413043478261,117.06688151041666,65.24184782608695,82.630947265625,,,,,,,,,,,
186.0528455284553,127.307265625,126.74254742547426,117.02734049479167,65.51490514905149,82.62860677083333,,,,,,,,,,,
186.09778357235984,127.34774739583334,126.7509778357236,117.03358072916667,64.96740547588006,82.62679361979167,,,,,,,,,,,
186.24759284731775,127.34778971354167,127.15680880330123,117.02984700520834,66.21733149931224,82.62246744791666,,,,,,,,,,,
186.4850065189048,127.32693033854167,126.91786179921773,117.04195963541666,65.29595827900913,82.61622395833334,,,,,,,,,,,
186.6662087912088,127.35430989583334,126.94505494505495,117.02384765625,65.71291208791209,82.624794921875,0.0,127.3724689670139,0.0,117.10806998697917,0.0,82.59923383246526,,0.0,,,
186.27900912646675,127.32455729166666,126.94524119947849,117.01923177083333,65.625814863103,82.61824544270833,0.02447667100695128,127.36719303385418,0.0032989366319355895,117.10015516493057,0.008894422743082941,82.60157877604168,0.65,0.01450521998897178,0.11771139881641854,,
186.67750677506774,127.338916015625,126.97831978319783,117.02192708333334,65.92953929539296,82.59630533854167,0.02447667100695128,127.36300640190971,0.012668185763899942,117.09348122829861,0.03165776909723661,82.60240201822917,0.85,0.024283274428342327,0.11771139881641854,,
186.52473958333334,127.3340625,127.00130208333333,117.02595052083333,65.36197916666667,82.59448893229167,0.02447667100695128,127.35939442274307,0.022100694444461055,117.08807215711805,0.034939127604175724,82.60386697048611,0.97,0.03481753976378178,0.11771139881641854,,
186.23521681997372,127.320263671875,127.12352168199737,117.01070638020833,64.86859395532194,82.58166015625,0.02447667100695128,127.35522276475696,0.022100694444461055,117.0823552517361,0.048811089409753095,82.60491015625001,0.97,0.04688490545968732,0.11771139881641854,,
186.47662337662337,127.315126953125,126.7961038961039,117.01219401041666,65.0935064935065,82.59245768229167,0.02447667100695128,127.35168446180555,0.022100694444461055,117.07736697048611,0.048811089409753095,82.60513009982641,0.97,0.051548497787931094,0.11771139881641854,,
186.60561497326202,127.29890950520833,127.32085561497327,116.99291341145833,65.63636363636364,82.575126953125,0.030812065972227742,127.34788064236112,0.022100694444461055,117.0730515407986,0.0562166883680959,82.60578255208335,0.91,0.056111345707374416,0.11042854594114003,,
186.44140625,127.29479817708334,127.05729166666667,116.975693359375,64.91276041666667,82.55483723958334,0.031787000868050086,127.34474424913195,0.029994683159713986,117.06780967881943,0.07633789062502672,82.60561404079863,0.98,0.06318901497025363,0.0966580767683495,,
186.4639037433155,127.29334635416667,127.49732620320856,116.99514973958334,65.75133689839572,82.54632486979166,0.03539073350695787,127.3468961588542,0.029994683159713986,117.06829644097222,0.08579177517364656,82.60655555555557,0.95,0.06318901497025363,0.030668801010400412,,
186.60515603799186,127.30187174479167,127.07327001356852,116.98816080729166,65.41655359565807,82.53393880208333,0.03539073350695787,127.34422894965279,0.029994683159713986,117.06397960069444,0.09615679253475662,82.60453450520835,0.95,0.06600479887135519,0.03030583931938098,,
186.2792207792208,127.29357747395834,127.41298701298702,116.99847005208333,65.32597402597402,82.54750325520833,0.03539073350695787,127.3385842013889,0.03271875000001501,117.05786762152775,0.09615679253475662,82.60080414496528,0.98,0.06921319626698756,0.03827446667737942,,
186.71598414795244,127.28639973958333,127.59841479524438,116.99423828125,65.67239101717306,82.51169921875,0.03539073350695787,127.33539192708335,0.03300889756945935,117.05334570312498,0.11163661024308169,82.59777473958334,0.98,0.0727941280174151,0.03827446667737942,,
186.30729166666666,127.273740234375,127.42578125,116.99609049479167,65.10546875,82.515341796875,0.039730794270866454,127.33163009982643,0.03892827690972922,117.04927853732637,0.11163661024308169,82.59441872829862,0.99,0.07410434758726289,0.03827446667737942,,
186.5231175693527,127.27907877604167,127.37912813738441,116.9853125,65.67239101717306,82.49599609375,0.039730794270866454,127.32932476128475,0.03892827690972922,117.04513704427082,0.12015581597223957,82.5905908203125,0.99,0.07473969378062191,0.03827446667737942,,
186.29679144385025,127.2692578125,127.3783422459893,116.96086263020834,65.44385026737967,82.52450520833334,0.039730794270866454,127.32633192274308,0.03892827690972922,117.04066417100692,0.12015581597223957,82.58765950520834,0.99,0.07519612994005112,0.03827446667737942,,
186.3818424566088,127.273603515625,127.46461949265688,116.961328125,65.95994659546061,82.51360677083333,0.039730794270866454,127.32358648003473,0.03892827690972922,117.0362195095486,0.12015581597223957,82.58452170138888,0.99,0.07622147315322718,0.03827446667737942,,
186.29945799457994,127.260712890625,127.12059620596206,116.94777669270833,65.04607046070461,82.55022135416667,0.04206532118057282,127.32093728298614,0.03892827690972922,117.03120008680555,0.12015581597223957,82.58330620659721,0.98,0.07719464973278521,0.041418365144529165,,0.9923876806804337
186.15171503957782,127.29090494791667,127.66490765171504,116.96902669270834,65.73218997361478,82.54347330729166,0.04206532118057282,127.31826963975696,0.03892827690972922,117.02668348524304,0.12015581597223957,82.58152658420138,0.98,0.0801920635513949,0.041418365144529165,,1.0187854930286058
186.27844712182062,127.30989908854167,127.34538152610442,116.98490234375,65.33467202141901,82.52951822916667,0.05293218315974002,127.31719129774307,0.05450846354165151,117.02251019965277,0.12015581597223957,82.5795769314236,1.01,0.08595580201430554,0.04460973413617836,,1.0380608089517063
186.33465085639,127.30423828125,127.25691699604744,116.99780924479167,65.02635046113306,82.520966796875,0.05293218315974002,127.31515766059029,0.07170279947914082,117.01822276475696,0.12015581597223957,82.57600889756944,1.12,0.0879478023506088,0.04719007759049214,,1.038418797023917
186.7344782034346,127.33424153645834,127.32100396301189,117.00457356770833,65.57067371202113,82.52638671875,0.07893674045139676,127.31552918836807,0.08195909288191672,117.01473079427085,0.12015581597223957,82.57356423611112,1.02,0.09145590876741469,0.06065165739074005,,1.0224847383766793
186.4388961892247,127.340126953125,127.11957950065703,117.00180338541666,64.70696452036793,82.50923828125,0.0859054904513954,127.31444585503473,0.08355957031248806,117.0103601345486,0.12015581597223957,82.57002018229167,0.99,0.09506766444902331,0.05826922954603267,,1.0048393912708597
186.60508701472557,127.3478515625,127.70682730923694,117.01027994791667,65.69611780455153,82.51501302083334,0.09427962239584531,127.31379633246529,0.0949310980902709,117.00746516927083,0.12015581597223957,82.56604654947917,1.0,0.09506766444902331,0.0550750969188048,,0.9813979355168319
186.5395778364116,127.37822916666667,127.50527704485488,117.02579427083333,65.64775725593668,82.53943684895833,0.12433865017364099,127.31411490885417,0.1122858072916273,117.00562478298613,0.12015581597223957,82.56287348090278,0.95,0.09506766444902331,0.053326676296248265,,0.9668550662629395
186.7125668449198,127.37304361979167,127.81417112299465,117.01279947916667,65.92780748663101,82.53035807291667,0.12433865017364099,127.3147392578125,0.1122858072916273,117.00388172743057,0.12015581597223957,82.56054947916667,0.95,0.09506766444902331,0.052048078375374396,,0.9690392859157043
186.55670103092783,127.37607096354166,127.63530927835052,117.02555338541667,65.43943298969072,82.522861328125,0.12433865017364099,127.31656239149306,0.11516558159722479,117.00250412326388,0.12015581597223957,82.55694661458334,0.96,0.09506766444902331,0.052048078375374396,,0.985651759487665
186.7265415549598,127.38513020833334,127.96112600536193,117.03921223958334,65.41286863270777,82.50915690104166,0.1261967230903025,127.31915787760417,0.12842871093748442,117.00289984809028,0.12015581597223957,82.55296495225694,1.01,0.09506766444902331,0.052048078375374396,,1.0144995180120782
186.20192307692307,127.39319661458333,127.84752747252747,117.07180338541667,65.7815934065934,82.51706705729167,0.13274815538196094,127.3206728515625,0.15974576822914344,117.00417393663196,0.12015581597223957,82.5493074001736,1.1,0.09506766444902331,0.052048078375374396,,1.0475180741743482
186.45182291666666,127.399892578125,127.50520833333333,117.08231770833333,65.109375,82.513203125,0.13770735677084645,127.3224096137153,0.16851106770830881,117.00592296006946,0.12015581597223957,82.54566525607639,1.11,0.09506766444902331,0.052048078375374396,,1.0740733029821157
